Nr,Weaknesses,Strengths,Type,Predicting,Chemical group,Data,Best method,Best setup,Mode,Other Class,Other methods,Data preprosessing,Validation parameters,Validation,Testing,Code given (FAIR),Databases given (FAIR),Supervized,"Software, packages",Year,More info,Source,Lead author,Country lead author,Journal,AD,Data given,Outlier handeling
67,Number of predictors unclear,All data and code given,Process monitoring,Idetification of plastics,Plastics,"3095 spectra, descriptors unkown",CL,k-NN (k=10),C,None,None,PCA to check if k (for k-NN) was relevant,"Sensiticity,Specificity","1000x training: 67%, validation 33%",Not performed,Yes,Yes,Supervized,"OMNIC Spectra, R; Baseline; Base; Class; Caret",2019,,"Kedzierski, M., Falcou-Préfol, M., Kerros, M. E., Henry, M., Pedrotti, M. L., & Bruzaud, S. (2019). A machine learning algorithm for high throughput identification of FTIR spectra: Application on microplastics collected in the Mediterranean Sea. Chemosphere, 234, 242–251. https://doi.org/10.1016/j.chemosphere.2019.05.113",Mikaël Kedzierski,France,Chemosphere,No,Yes,Checked if present nothing mentioned if present
68,,,QSAR,Predicting toxicity from bioactivity (toxicity),Organic molecules,"341 molecules, 805 descriptors",DT,RF (100 trees),C,"BA,SVM,CL,DT,LS","LDA, NB, SVM, KNN, CART",data augmentation (SMOTE),"Sensitivity,Specificity,Balanced accuracy",20x 10-fold cross-validation,Not performed,Yes,Yes,Supervized,"Python; RKDit; Pybed, PaDEL,",2019,,"Grenet, I., Comet, J. P., Schorsch, F., Ryan, N., Wichard, J., & Rouquié, D. (2019). Chemical in vitro bioactivity profiles are not informative about the long-term in vivo endocrine mediated toxicity. Computational Toxicology, 12, 100098. https://doi.org/10.1016/j.comtox.2019.100098",Ingrid Grenet,France,Computational Toxicology,No,Yes,Nothing mentioned
69,,,QSAR,Predict toxiological effects from structure (activity),Plastics,"89 chemicals, 993 descriptors",NN,"DNN(ReLU, 16+8+4 (3 layers), 100 epochs, Lr = 0.002)",R,"LS,SVM","MLR, SVM","Discriptors standardized, Variable importance with PLS, VIP, LASSO","Accuracy,Precision,Recall,Balance,R^2,RMSE","Training: 70%, validation 30%",Not performed,No,Yes,,"Python; Keras, Matlab, Dragon 6",2019,,"Heo, S., Safder, U., & Yoo, C. (2019). Deep learning driven QSAR model for environmental toxicology: Effects of endocrine disrupting chemicals on human health. Environmental Pollution, 253, 29–38. https://doi.org/10.1016/j.envpol.2019.06.081",SungKu Heo,Republic of Korea,Environmental Pollution,No,Yes,Nothing mentioned
70,,All data given (at least compounds and CAS-number),QSAR,Predicting toxicity of organic molecules to aquatic organisms (toxicity),Organic molecules,"500 molecules, 12 descriptors",SVM,SVM,C,DT,"XGBoost, RF",High correlated (Pearson correlation > 0.9) removed,"Accuracy,Sensiticity,Specificity,AUC","Training: 80%, validation 20%",Nothing mentioned,No,Yes,Supervized,"PaDEL, R; Caret; Kernlab; RandomForest; XGBoost",2019,,"Ai, H., Wu, X., Zhang, L., Qi, M., Zhao, Y., Zhao, Q., Zhao, J., & Liu, H. (2019). QSAR modelling study of the bioconcentration factor and toxicity of organic compounds to aquatic organisms using machine learning and ensemble methods. Ecotoxicology and Environmental Safety, 179, 71–78. https://doi.org/10.1016/j.ecoenv.2019.04.035",Haixin Ai,China,Ecotoxicology and Environmental Safety,No,Yes,Nothing mentioned
71,,All models explained + parameters,Process monitoring,Predicting organic carbon in soil,Organic carbon,"1872 samples, 10 predictors",DT,"GBRT (loss=huber, tree=200, min_sample_leaf = 1, Lr=0.3, Max_depth=10)",R,DT,"RF, GBDT, DT",,"R^2,RMSE,ME,LCCC","Training: 70%, 10-fold cross-validation",Testing: 30%,No,Yes,Supervized,,2019,,"Chen, D., Chang, N., Xiao, J., Zhou, Q., & Wu, W. (2019). Mapping dynamics of soil organic matter in croplands with MODIS data and machine learning algorithms. Science of The Total Environment, 669, 844–855. https://doi.org/10.1016/j.scitotenv.2019.03.151",Di Chen,USA,Science of The Total Environment,No,No,"""GBRT is good with outliers"""
72,Model setup not mentioned. Model seems to be overfitting,,Process monitoring,Predicting nitrate concentrations in ground water,Nitrogen,"1890 samples, 14 predictors",DT,RF,R,"DT,LS","GBRT, CART, MLR",Nothing mentioned,"RMSE,AIC,MAE,R^2",80% training 10-fold cross-validation,Testing: 20%,No,Yes,Supervized,"ArcGIS, R;Caret",2019,,"Knoll, L., Breuer, L., & Bach, M. (2019b). Large scale prediction of groundwater nitrate concentrations from spatial data using machine learning. Science of The Total Environment, 668, 1317–1327. https://doi.org/10.1016/j.scitotenv.2019.03.045",Lukas Knoll,Germany,Science of The Total Environment,Yes,No,Nothing mentioned
73,"C and gamma mentioned, but no optimal value given.",Tested other machine learning classes,QSAR,Predict pesticide toxicity (toxicity),Pesticides,"639 molecules, 15 descriptors",SVM,"SVM (RBF, c=?, gamma=?)",C,"DT,BA,CL","DT, NB, k-NN, RF",Nothing mentioned,"TP,Accuracy","training 80%, 10-fold cross-validation",Testing: 20%,No,Yes,Supervized,"CFSSubset Eval, WEKA datamining software, PaDEL, KNIME, LibSVM",2019,,"He, L., Xiao, K., Zhou, C., Li, G., Yang, H., Li, Z., & Cheng, J. (2019). Insights into pesticide toxicity against aquatic organism: QSTR models on Daphnia Magna. Ecotoxicology and Environmental Safety, 173, 285–292. https://doi.org/10.1016/j.ecoenv.2019.02.014",Lujue He,China,Ecotoxicology and Environmental Safety,Yes,Yes,"Checked for outliers, no present"
74,No information on the model or dataprocessing/splitting,,Process monitoring,Predict PCB concentration in breast milk,Organochloro molecules,"79 samples, 9 PCB's",DT,RF,R,None,None,Nothing mentioned,"r,MAE,RMSE",100x 10-fold cross-validation,Not performed,No,Yes,Supervized,Weka datamining software,2019,,"Jovanović, G., Romanić, S. H., Stojić, A., Klinčić, D., Sarić, M. M., Letinić, J. G., & Popović, A. (2019). Introducing of modeling techniques in the research of POPs in breast milk – A pilot study. Ecotoxicology and Environmental Safety, 172, 341–347. https://doi.org/10.1016/j.ecoenv.2019.01.087",Gordana Jovanović,Serbia,Ecotoxicology and Environmental Safety,No,Yes,"Checked if there were, nothing metioned about handeling"
75,Optimal model not given,Were super critical about their model,QSAR,Predicting toxicity of organic molecules (toxicity),Organic molecules,"8000 chemicals, 629 predictors",DT,XGBoost,R,"DT,NN,LS","XGBoost, DNN, GCN, RF, LASSO, kNN",Nothing mentioned,AUC,"Training: 80%, validation 10%",Testing: 10%,No,Yes,Supervized,DeepChem; XGBoost; Keras; TensorFlow,2019,,"Zaslavskiy, M., Jégou, S., Tramel, E. W. & Wainrib, G. (2019b, mei). ToxicBlend: Virtual screening of toxic compounds with ensemble predictors. Computational Toxicology, 10, 81–88. https://doi.org/10.1016/j.comtox.2019.01.001",Mikhail Zaslavskiy,USA,Computational Toxicology,No,No,Nothing mentioned
62,Not too much information about ML model,More or less self made method,QSAR,Predicting ecotoxicity (HC50) of organic molecules,Organic molecules,"2915 molecules, 166 descriptors",CL,Louvain method (graph cut value = 0.72),C,None,None,None,"Accuracy,RMSE,MAE",10-fold cross validation,Not performed,No,Yes,Unsupervized,"QSAR Toolbox, AIST-MeRAM",2020,,"Takata, M., Lin, B. L., Xue, M., Zushi, Y., Terada, A., & Hosomi, M. (2020). Predicting the acute ecotoxicity of chemical substances by machine learning using graph theory. Chemosphere, 238, 124604. https://doi.org/10.1016/j.chemosphere.2019.124604",Michiyoshi Takata,Japan,Chemosphere,Yes,"No, but clear steps given",Nothing mentioned
63,Number of features unclear,,QSAR,Predicting bioactivity of PFAS,PFAS,"3486 molecules, 3 features?",DT,RF,C,NN,ANN,Bioassay contained at least 50 active compounds,"AUC,ROC","Training: 70%, validation 30%",Not performed,No,Yes,Supervized,"Python;CIRpy; DeepChem; PyGPGO, AIST-MeRA, ECOSAR",2020,,"Cheng, W., & Ng, C. A. (2019). Using Machine Learning to Classify Bioactivity for 3486 Per- and Polyfluoroalkyl Substances (PFASs) from the OECD List. Environmental Science & Technology, 53(23), 13970–13980. https://doi.org/10.1021/acs.est.9b04833","Cheng, Weixiao",USA,Environmental Science and Technology,Yes,Yes,Nothing mentioned
64,No model setup given,,Process monitoring,Predictions of petroleum contamination of tropical regions,Hydrocarbons,"69300 samples, 33 predictors",DT,RF,R,None,None,None,"R^2,RMSE,RPD","Training: 50%, validation: 50%",Not performed,No,No,Supervized,ENET,2019,,"Lassalle, G., Credoz, A., Hédacq, R., Bertoni, G., Dubucq, D., Fabre, S., & Elger, A. (2019). Estimating persistent oil contamination in tropical region using vegetation indices and random forest regression. Ecotoxicology and Environmental Safety, 184, 109654. https://doi.org/10.1016/j.ecoenv.2019.109654",Guillaume Lassalle,France,Ecotoxicology and Environmental Safety,Yes,No,Nothing mentioned
65,Not clearly given which model was the best. Training and test size not clear,,QSAR,Predict multispecie fish toxicity (LC50),Organic molecules,"2656 molecules, 552 descriptors",SVM,SVR,R,DT,"RF, GBDT","High correlated (Pearson correlation > 0.8) columns removed, log scaling of the data","RMSE,R^2","Training:?, 5-Fold cross-validation",Testing performed,No,No,Supervized,"OPERA, PaDEL, KNIME, OECA QSAR Toolbox, TEST, Excel",2019,,"Sheffield, T. Y., & Judson, R. S. (2019). Ensemble QSAR Modeling to Predict Multispecies Fish Toxicity Lethal Concentrations and Points of Departure. Environmental Science & Technology, 53(21), 12793–12802. https://doi.org/10.1021/acs.est.9b03957",Thomas Y. Sheffield,USA,Environmental Science & Technology,Yes,"No, but clear steps given",Nothing mentioned
66,"Number of descriptors unclear, unclear if the model was validated and tested",,Optimisation,Optimize the removal of organo phosphorus,Organophosphates,"9600 samples, descriptors?",NN,"Q-Learning (ASM2D model, k=0.7, gamma=0.9, n=100000, epochs = 8000)",R,None,None,"Was processed, but not mentioned how",Q-value,Training: 9600 points,Not performed,No,No,Supervized,MATLAB/Simulink,2019,,"Pang, J. W., Yang, S. S., He, L., Chen, Y. D., Cao, G. L., Zhao, L., Wang, X. Y., & Ren, N. Q. (2019). An influent responsive control strategy with machine learning: Q-learning based optimization method for a biological phosphorus removal system. Chemosphere, 234, 893–901. https://doi.org/10.1016/j.chemosphere.2019.06.103",Ji-Wei Pang,China,Chemosphere,No,No,Nothing mentioned
67,Number of predictors unclear,All data and code given,Process monitoring,Idetification of plastics,Plastics,"3095 spectra, descriptors unkown",CL,k-NN (k=10),C,None,None,PCA to check if k (for k-NN) was relevant,"Sensiticity,Specificity","1000x training: 67%, validation 33%",Not performed,Yes,Yes,Supervized,"OMNIC Spectra, R; Baseline; Base; Class; Caret",2019,,"Kedzierski, M., Falcou-Préfol, M., Kerros, M. E., Henry, M., Pedrotti, M. L., & Bruzaud, S. (2019). A machine learning algorithm for high throughput identification of FTIR spectra: Application on microplastics collected in the Mediterranean Sea. Chemosphere, 234, 242–251. https://doi.org/10.1016/j.chemosphere.2019.05.113",Mikaël Kedzierski,France,Chemosphere,No,Yes,Checked if present nothing mentioned if present
68,,,QSAR,Predicting toxicity from bioactivity,Organic molecules,"341 molecules, 805 descriptors",DT,RF (100 trees),C,"BA,SVM,CL,DT,RE","LDA, NB, SVM, KNN, CART",data augmentation (SMOTE),"Sensitivity,Specificity,Balanced accuracy",20x 10-fold cross-validation,Not performed,Yes,Yes,Supervized,"Python; RKDit; Pybed, PaDEL,",2019,,"Grenet, I., Comet, J. P., Schorsch, F., Ryan, N., Wichard, J., & Rouquié, D. (2019). Chemical in vitro bioactivity profiles are not informative about the long-term in vivo endocrine mediated toxicity. Computational Toxicology, 12, 100098. https://doi.org/10.1016/j.comtox.2019.100098",Ingrid Grenet,France,Computational Toxicology,No,Yes,Nothing mentioned
69,,,QSAR,Predict toxiological effects from structure,Plastics,"89 chemicals, 993 descriptors",NN,"DNN(ReLU, 16+8+4 (3 layers), 100 epochs, Lr = 0.002)",R,"RE,SVM","MLR, SVM","Discriptors standardized, Variable importance with PLS, VIP, LASSO","Accuracy,Precision,Recall,Balance,R^2,RMSE","Training: 70%, validation 30%",Not performed,No,Yes,,"Python; Keras, Matlab, Dragon 6",2019,,"Heo, S., Safder, U., & Yoo, C. (2019). Deep learning driven QSAR model for environmental toxicology: Effects of endocrine disrupting chemicals on human health. Environmental Pollution, 253, 29–38. https://doi.org/10.1016/j.envpol.2019.06.081",SungKu Heo,Republic of Korea,Environmental Pollution,No,Yes,Nothing mentioned
70,,All data given (at least compounds and CAS-number),QSAR,Predicting toxicity of organic molecules to aquatic organisms,Organic molecules,"500 molecules, 12 descriptors",SVM,SVM,C,DT,"XGBoost, RF",High correlated (Pearson correlation > 0.9) removed,"Accuracy,Sensiticity,Specificity,AUC","Training: 80%, validation 20%",Nothing mentioned,No,Yes,Supervized,"PaDEL, R; Caret; Kernlab; RandomForest; XGBoost",2019,,"Ai, H., Wu, X., Zhang, L., Qi, M., Zhao, Y., Zhao, Q., Zhao, J., & Liu, H. (2019). QSAR modelling study of the bioconcentration factor and toxicity of organic compounds to aquatic organisms using machine learning and ensemble methods. Ecotoxicology and Environmental Safety, 179, 71–78. https://doi.org/10.1016/j.ecoenv.2019.04.035",Haixin Ai,China,Ecotoxicology and Environmental Safety,No,Yes,Nothing mentioned
71,,All models explained + parameters,Process monitoring,Predicting organic carbon in soil,Organic carbon,"1872 samples, 10 predictors",DT,"GBRT (loss=huber, tree=200, min_sample_leaf = 1, Lr=0.3, Max_depth=10)",R,DT,"RF, GBDT, DT",,"R^2,RMSE,ME,LCCC","Training: 70%, 10-fold cross-validation",Testing: 30%,No,Yes,Supervized,,2019,,"Chen, D., Chang, N., Xiao, J., Zhou, Q., & Wu, W. (2019). Mapping dynamics of soil organic matter in croplands with MODIS data and machine learning algorithms. Science of The Total Environment, 669, 844–855. https://doi.org/10.1016/j.scitotenv.2019.03.151",Di Chen,USA,Science of The Total Environment,No,No,"""GBRT is good with outliers"""
72,Model setup not mentioned. Model seems to be overfitting,,Process monitoring,Predicting nitrate concentrations in ground water,Nitrogen,"1890 samples, 14 predictors",DT,RF,R,"DT,RE","GBRT, CART, MLR",Nothing mentioned,"RMSE,AIC,MAE,R^2",80% training 10-fold cross-validation,Testing: 20%,No,Yes,Supervized,"ArcGIS, R;Caret",2019,,"Knoll, L., Breuer, L., & Bach, M. (2019b). Large scale prediction of groundwater nitrate concentrations from spatial data using machine learning. Science of The Total Environment, 668, 1317–1327. https://doi.org/10.1016/j.scitotenv.2019.03.045",Lukas Knoll,Germany,Science of The Total Environment,Yes,No,Nothing mentioned
73,"C and gamma mentioned, but no optimal value given.",Tested other machine learning classes,QSAR,Predict pesticide toxicity,Pesticides,"639 molecules, 15 descriptors",SVM,"SVM (RBF, c=?, gamma=?)",C,"DT,BA,CL","DT, NB, k-NN, RF",Nothing mentioned,"TP,Accuracy","training 80%, 10-fold cross-validation",Testing: 20%,No,Yes,Supervized,"CFSSubset Eval, WEKA datamining software, PaDEL, KNIME, LibSVM",2019,,"He, L., Xiao, K., Zhou, C., Li, G., Yang, H., Li, Z., & Cheng, J. (2019). Insights into pesticide toxicity against aquatic organism: QSTR models on Daphnia Magna. Ecotoxicology and Environmental Safety, 173, 285–292. https://doi.org/10.1016/j.ecoenv.2019.02.014",Lujue He,China,Ecotoxicology and Environmental Safety,Yes,Yes,"Checked for outliers, no present"
74,No information on the model or dataprocessing/splitting,,Process monitoring,Predict PCB concentration in breast milk,Organochloro molecules,"79 samples, 9 PCB's",DT,RF,R,None,None,Nothing mentioned,"r,MAE,RMSE",100x 10-fold cross-validation,Not performed,No,Yes,Supervized,Weka datamining software,2019,,"Jovanović, G., Romanić, S. H., Stojić, A., Klinčić, D., Sarić, M. M., Letinić, J. G., & Popović, A. (2019). Introducing of modeling techniques in the research of POPs in breast milk – A pilot study. Ecotoxicology and Environmental Safety, 172, 341–347. https://doi.org/10.1016/j.ecoenv.2019.01.087",Gordana Jovanović,Serbia,Ecotoxicology and Environmental Safety,No,Yes,"Checked if there were, nothing metioned about handeling"
75,Optimal model not given,Were super critical about their model,QSAR,Predicting toxicity of organic molecules,Organic molecules,"8000 chemicals, 629 predictors",DT,XGBoost,R,"DT,NN,RE","XGBoost, DNN, GCN, RF, LASSO, kNN",Nothing mentioned,AUC,"Training: 80%, validation 10%",Testing: 10%,No,Yes,Supervized,DeepChem; XGBoost; Keras; TensorFlow,2019,,,,,,No,No,Nothing mentioned
